county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
屏東縣,2024,10,1,屏東,0.5845481,0.433,0.19776347,0.145,20.284973,27.512,23.211657,28.212,12.676459,4.208,5.976365,3.258,2.1133296,0.542,12.676,5.43,25.042
屏東縣,2024,10,2,屏東,1.0182532,0.45,0.20030923,0.144,26.196316,32.271,27.514,33.475,16.6282,5.042,3.249091,3.117,4.2648764,0.722,16.628,5.195,29.292
屏東縣,2024,10,3,屏東,1.0602928,0.821,0.13619363,0.267,26.405603,34.504,23.66862,33.7,17.928162,19.042,3.8389966,7.223,5.787378,4.833,18.79,19.042,32.167
屏東縣,2024,10,4,屏東,0.82968694,0.817,0.2554962,0.34,30.14858,31.3,26.620977,30.046,23.672367,25.208,6.922804,7.758,8.163947,10.375,26.506,33.685,37.708
屏東縣,2024,10,5,屏東,0.48286492,1.008,0.29321352,0.293,22.185816,24.646,22.565413,24.758,19.578152,19.375,7.4551334,5.237,7.0439286,7.625,22.87,24.756,28.542
屏東縣,2024,10,6,屏東,0.75556344,0.975,0.32265157,0.248,22.12583,23.137,18.284267,23.046,15.285143,17.583,6.1345515,7.388,4.7646427,3.375,15.47,17.583,22.625
屏東縣,2024,10,7,屏東,0.9040749,0.883,0.21939245,0.278,21.591095,28.475,20.34022,28.942,15.8938265,20.833,7.197858,7.122,4.4736176,7.5,15.894,24.351,28.208
屏東縣,2024,10,8,屏東,0.84664285,0.87,0.28656524,0.37,29.712988,29.962,24.492085,29.322,22.196625,22.826,6.3279643,9.105,7.2867594,9.348,23.658,30.351,34.958
屏東縣,2024,10,9,屏東,0.84057844,1.125,0.31499383,0.368,29.479383,35.108,27.218946,38.842,24.872633,34.417,7.63141,7.896,9.103289,14.375,29.556,46.672,40.958
屏東縣,2024,10,10,屏東,1.3695829,1.721,0.41803592,0.49,42.25547,47.617,41.190647,44.692,43.907246,54.958,8.543674,11.912,17.3663,27.333,55.595,80.137,77.833
屏東縣,2024,10,11,屏東,1.2973558,1.542,0.45144022,0.444,40.03106,43.546,35.24614,45.817,42.27442,40.0,9.436675,8.954,23.674276,20.292,71.128,62.799,77.875
屏東縣,2024,10,12,屏東,1.3541873,1.433,0.41964823,0.431,43.14021,48.175,43.44304,48.533,40.510166,46.917,7.578745,7.579,20.335405,25.542,62.906,75.727,80.125
屏東縣,2024,10,13,屏東,1.409419,1.667,0.40318507,0.35,42.9428,43.675,41.044308,41.229,47.739212,43.957,8.491414,8.713,22.464956,21.217,68.15,65.077,72.5
屏東縣,2024,10,14,屏東,1.4247793,1.125,0.3333302,0.385,41.19601,42.033,39.980606,42.762,44.32228,51.292,8.610073,10.029,20.389238,27.542,63.039,80.651,80.042
屏東縣,2024,10,15,屏東,1.2413149,1.417,0.34951246,0.344,40.0174,38.821,38.445724,38.742,49.863255,43.042,9.391197,8.671,24.189081,22.0,72.395,67.005,72.417
屏東縣,2024,10,16,屏東,1.1979637,1.271,0.3162135,0.332,37.061306,40.958,35.68814,40.933,36.717678,41.583,8.735034,9.567,18.479666,19.833,58.337,61.669,59.5
屏東縣,2024,10,17,屏東,1.301297,1.238,0.330466,0.321,38.97237,38.717,38.565468,37.733,38.439526,42.333,8.509104,7.846,18.686123,19.375,58.845,60.541,61.208
屏東縣,2024,10,18,屏東,1.3027368,1.342,0.37895596,0.328,41.035877,44.742,39.53203,48.575,44.594612,47.375,9.036633,7.867,21.697557,26.292,66.26,77.573,83.667
屏東縣,2024,10,19,屏東,1.2819443,1.45,0.35908553,0.408,47.26862,46.204,45.454323,44.654,48.18323,53.208,8.406551,8.154,28.012602,31.167,81.81,89.577,91.625
屏東縣,2024,10,20,屏東,1.1880205,1.258,0.42922175,0.355,39.354427,45.071,38.300945,43.095,49.2719,52.826,8.730268,8.512,26.346746,21.565,77.708,65.934,77.208
屏東縣,2024,10,21,屏東,1.2459716,1.175,0.3187442,0.338,38.073788,41.346,36.520363,41.288,44.075512,52.5,9.598652,7.475,17.703527,19.417,56.426,60.645,60.458
屏東縣,2024,10,22,屏東,1.3313274,0.985,0.43512788,0.37,43.436634,43.333,41.22765,43.773,50.556065,69.409,9.013101,9.889,21.206575,22.318,65.051,70.021,81.708
屏東縣,2024,10,23,屏東,1.2282007,0.946,0.3762883,0.359,39.97893,37.762,37.976517,35.767,55.172047,50.208,10.450112,9.242,20.748991,14.625,63.925,51.204,61.292
屏東縣,2024,10,24,屏東,1.1601377,1.179,0.29066473,0.365,27.507076,32.046,28.964819,31.554,32.409237,40.583,9.937971,12.946,7.9506087,13.917,32.409,45.185,42.75
屏東縣,2024,10,25,屏東,1.3596685,0.881,0.25479925,0.295,28.39286,28.383,25.88811,27.49,31.127377,32.762,11.021105,8.957,13.537587,13.476,43.953,43.753,46.875
